term,beta,desc
(Intercept),-1.9981262205147292,NA
CPTGroup.other procedures,0.08523699011828582,NA
CPTGroup.integumentary system,-0.0418939632318638,NA
CPTGroup.urinary system,0.1144685831936212,NA
CPTGroup.nervous system,-0.19771067955349342,NA
CPTGroup.diagnostic radiology,-0.02178829311141405,NA
CPTGroup.MRI brain,0.17752784640774283,NA
"CPTGroup.MRI spine (cervical, thoracic)",0.10793466871945444,NA
CPTGroup.diagnostic ultrasound,0.05597106362268177,NA
CPTGroup.breast mammography,0.007402467017412832,NA
CPTGroup.hematology and coagulation,0.013571797834179023,NA
CPTGroup.microbiology,0.005352590414334362,NA
CPTGroup.cytopathology,-0.14477629455326355,NA
"CPTGroup.vaccines, toxoids",-0.04493797282556514,NA
CPTGroup.psychiatry,0.03235871314122554,NA
CPTGroup.cardiovascular,0.03480704514301182,NA
CPTGroup.noninvasive vascular diagnostic studies,-0.06606017070026525,NA
CPTGroup.pulmonary,0.008189375413382658,NA
CPTGroup.health and behavior assessment/intervention,-0.009210191311426372,NA
"CPTGroup.hydration, therapeutic, prophylactic, diagnostic injections and infusions, and chemotherapy and other highly complex drug or highly complex biologic agent administration",0.010875756045013674,NA
CPTGroup.physical medicine and rehabilitation,-0.014693022352798306,NA
"CPTGroup.special services, procedures and reports",-0.01938003100403902,NA
CPTGroup.Office/other outpatient services,0.12261298511211292,NA
CPTGroup.Consultations,0.05394242969906505,NA
CPTGroup.Preventive medicine services,0.06586716337773504,NA
CPTGroup.outpatient clinic visit,-0.043770276001708984,NA
CUI.C0001962,-0.1796460724650562,Ethanol
CUI.C0004268,0.05669658324893769,Attention
CUI.C0005558,-0.1868154079418125,Biopsy
CUI.C0006644,-0.035844119556361534,Caffeine
CUI.C0009244,0.1928800404986134,Cognitive Therapy
CUI.C0009443,-0.01114584561712773,Common Cold
CUI.C0009676,0.02142108602893277,Confusion
CUI.C0011304,0.028718814621192124,Demyelination
CUI.C0012569,0.06325219581742673,Diplopia
CUI.C0015967,-0.07667391587477994,Fever
CUI.C0016382,0.10993282819043099,Flushing
CUI.C0016911,0.018433690505530183,Gadolinium
CUI.C0019932,-0.09296439290665777,Hormones
CUI.C0020538,-0.0995918476136643,Hypertensive disease
CUI.C0021368,0.09751310664480506,Inflammation
CUI.C0021400,-0.09485257505923811,Influenza
CUI.C0021747,0.04464841856593618,Interferons
CUI.C0023175,-0.21550308918192687,Lead
CUI.C0024485,0.13593328416928738,Magnetic Resonance Imaging
CUI.C0025260,0.09245138321089132,Memory
