"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Desc"
"CPTGroup.other procedures",-0.0170859741639659,-0.0147371343474357,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571967461024457,0,-0.0391905736607122,0,0,0,"Other procedures"
"CPTGroup.integumentary sy",-0.0116995557058235,-0.0096735380285745,0,0,0,0,-0.101323067962547,0,0,0,0,0,0,0,0,0,0,0,0,0,"Integumentary system"
"CPTGroup.musculoskeletal ",-0.015586861872734,-0.0134123531288589,0,0,0,0,0,0,0,0,0,0,0,-0.0305556806445257,-0.0297516132626787,-0.00883280273868239,0,0,0,0,"Musculoskeletal system"
"CPTGroup.cardiovascular s",0.00756126199355085,0.0203976374249076,-0.0540494229299359,0,0,0,-0.111365768141569,0.188257115689154,0.0436936784651542,0,0,0,0.266232127775393,0,0,0,0,0,0,0,"Cardiovascular system"
"CPTGroup.urinary system",-0.00620103226218144,-0.0150403272726769,0,0,0,0,0,0.0171118853302762,0.00339290487555597,0,0.396051064794749,0.0505929054597971,-0.0180127679781109,0,0,0.148259053123916,0,0,0,0,"Urinary system"
"CPTGroup.nervous system",-0.0148088982107983,-0.0115547901614979,0,0,0,0,0,0,0,0,0,0,0,-0.000925017375681695,-0.162220063236288,0,0,0,0,0,"Nervous system"
"CPTGroup.diagnostic radio",0.000641233394408425,0.00932627376551545,0,0.242590308371735,0,0,0,0,0,0,0,0,0,0,0,-0.343145895840579,0,0.0200114550679218,0.166613693683905,0,"Diagnostic radiology"
"CPTGroup.MRI brain",0.0173915135006343,0.0384973837256746,0,0,-0.168120654042177,0,0,0,0,0,0,0,0,0,0,0,0,0.123823449473235,0.00306915466521635,0.0338214555221253,"MRI brain"
"CPTGroup.MRI spine (cervi",0.00749794115348378,0.0291193842195124,0,0,-0.210902421683445,0,0,0,-0.0135512168997875,0,0,0,0,0,0,0,0,0.0345419604457823,0,0.0326778880019188,"MRI spine (cervical, thoracic)"
"CPTGroup.diagnostic ultra",-0.007880745103301,0,0,0,0,0,-0.16276092720562,0,0,0,0,0,0,0,0,0,0,0,0,0,"Diagnostic ultrasound"
"CPTGroup.breast mammograp",-0.00521633628087711,0,0,0,0,0,-0.311162465179291,0,0,0,0,0,-0.0339389991909292,0,0,0,0,0,0.0167557580051708,-0.0591721619554331,"Breast mammography"
"CPTGroup.nuclear medicine",-0.0163610598937444,-0.0162369831048713,0,0,0,0,0,0,0,0,0,0,0,-0.00751253268517806,-0.0409926273619797,-0.00832254573907254,-0.0136783144568224,0,-0.0157444617399694,0,"Nuclear medicine"
"CPTGroup.organ or disease",0.0194807931816152,0.0314313389515091,0,0,-0.0671455703077222,0,0,0.157941509820461,0.0204133246999201,0.0139788972046547,0,0,0.489772038018184,0,0,0,0,0,0,-0.0613453533525425,"Organ or disease-oriented panels"
"CPTGroup.therapeutic drug",-0.0161153959324704,-0.0143392205145418,0,0,0,0,0,0,0,0,0,0,0,0,-0.0477865032682545,0,0,0,0,0,"Therapeutic drug assays"
"CPTGroup.chemistry",0.0240970209963609,0.0368411338085194,-0.00593274139682968,0.201032959703469,0,0,0,0.0653846796170108,0,0.0805970574095827,0,0,0.501996631478787,0,0,0,0,0.0448592437186611,0,0,"Chemistry"
"CPTGroup.hematology and c",0.0196786005921439,0.040253974621626,-0.0213786149877051,0,-0.0872170310615366,0,0,0.202616128484096,0,0.0424113397956651,0,0,0.482739622391338,0,0,0,0,0,0,-0.0586899463358131,"Hematology and coagulation"
"CPTGroup.microbiology",-0.00166510159677221,0,0,0.0517814103049361,0,-0.00988210218558278,-0.13664151732807,0,0.0379519070021116,0,0.118957269442024,0,0,0,0,0,0,0,0.0429213471783182,0,"Microbiology"
"CPTGroup.cytopathology",-0.00579201880395819,0,0,0,0,0,0,0.126279946074383,0,0,0,0,0.00124561944476638,0,0,0,-0.501573551507958,0.0718899076894546,0.0535760413119619,0,"Cytopathology"
"CPTGroup.surgical patholo",-0.00757799363721161,-0.00220586125955787,0,0,0,0,-0.280404834304121,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surgical pathology"
